order_id,customer_id,order_date,product_id,product_name,product_price,quantity
deb8c53a-12e9-4f77-ae84-d93f14dd8a1f,a2d09324-7a3f-41ca-b134-e652bf14ac02,2024-02-15,P001,Product A,253.5,1
91b1f854-3526-4f4e-b8dc-e3156e086f1d,cbbdb466-bb7b-41c8-96d7-b4fb3e58acd1,2024-05-26,P009,Product I,1500.25,4
d285ceca-c0f0-4057-86a1-9d3ce69a1e3a,f674a755-8d3f-4006-9b01-2345120307c5,2023-09-17,P004,Product D,152.25,2
25750524-3e6d-4ed3-9530-30e0dce6965c,e5dcc3ff-282a-4780-b3bb-9d6bd64e0455,2023-11-21,P007,Product G,4500.0,5
25238c14-0d2a-44c5-90c7-7c3fb494b6b9,7fc8cb0f-6e11-4fd0-95f5-4a48f4dbec20,2024-01-17,P008,Product H,7534.75,1
575bcc80-b082-4efd-ae30-9e4f7c48702a,08e9ac7c-db32-4a43-8ce9-4f14ef892408,2024-06-05,P008,Product H,7534.75,1
cfddddbc-7206-47d9-a9f8-6952172390dd,0b55e938-f663-460e-9f25-561bb5d8e866,2023-08-04,P0010,Product J,50000.0,5
440bbc35-2be3-4cba-906a-378b7701dd1c,aa2f50c0-9f1a-4498-89cb-de58b51f9019,2024-04-10,P001,Product A,253.5,3
0ae6dcf6-2c35-4391-9f88-dee4b0f92228,f1090f65-c8c0-44dd-920e-5015561a94cc,2024-06-09,P004,Product D,152.25,2
15927868-a337-476f-b113-8169d8fe06df,aef5bb95-664f-49d7-bb94-ea206bd16f69,2024-06-07,P009,Product I,1500.25,2
bd7e6513-e269-4509-8464-966ac31dc522,6b7ef69d-f92e-44e5-a509-da6e48541d12,2024-02-04,P004,Product D,152.25,5
1b566659-d0e9-49f7-a4c4-39314ad39217,757c6ad9-ff31-42ef-bd1b-95bec3b5fc34,2023-09-28,P005,Product E,501.0,5
913b2c29-7c51-45f7-aece-feca1ddac4b3,7cf49b54-8a8c-4ac6-a63b-09f727b0255a,2023-08-05,P003,Product C,7500.75,1
1f6c5fb9-193f-46af-943f-72045a45d76a,0cfd6c70-90cb-4371-972d-c398ba0031dc,2023-09-04,P005,Product E,501.0,5
0bfbc544-49d0-40e0-9259-1a70262aa8c6,05af6267-0682-42ac-8829-e423b7baa74b,2023-10-16,P006,Product F,9000.1,3
476a4efd-ef50-488a-9c45-4ff6d577e213,659a1c73-e44e-49b5-b0df-4b3c11df5dfa,2024-04-05,P001,Product A,253.5,1
27abf744-4652-4c94-a3ac-60e2daa2a490,1549a019-10c1-4ddb-add7-873b1632ed46,2024-03-24,P003,Product C,7500.75,2
49da7efa-d5df-4c23-ad81-a07f8923db9c,15fa9484-fb1d-49ec-88d6-9a2532d12b4a,2024-05-28,P004,Product D,152.25,2
9296df42-483b-40a8-a176-3136eec44697,5f3d962a-a9e0-4437-8d86-6eab6005c6e4,2024-05-21,P0010,Product J,50000.0,4
a27af607-58b8-40e3-9fa3-de82d4671d01,3d2472b1-1768-4590-b723-f14b9ee5ab73,2024-07-25,P0010,Product J,50000.0,2
fa3ba6a1-1719-49a1-90ca-54de16f87068,de0d6b31-49f8-4249-968a-b9030456345f,2023-09-21,P009,Product I,1500.25,5
5605d6f5-25e5-462d-83c2-0bd58565799d,289c6310-787e-4d34-9172-c17e60e6bbf0,2023-10-17,P002,Product B,459.0,2
5879a364-e8b0-42d5-9783-5618c5387a6e,bfe56252-8f3e-486e-b212-bd052915ddfe,2023-12-02,P0010,Product J,50000.0,1
cc9eafd3-7cb0-455a-a8b0-63e2a9c5d7cb,24fe4a23-b472-49b4-9b97-e41cdd0ffa4d,2023-11-11,P005,Product E,501.0,5
dfe53f3e-30ce-4e1a-a6d2-b490b69f4648,4446bbea-968d-416f-b181-47e075044040,2024-07-17,P006,Product F,9000.1,1
